Wavelength,Flux,BestFit,SkyFlux
4083.194,33.816,37.990,8.106
4084.134,38.257,40.559,7.048
4085.075,33.964,42.585,6.472
4086.015,33.245,37.972,6.608
4086.956,37.319,37.228,6.913
4087.898,38.107,36.955,7.362
4088.839,33.066,35.714,7.437
4089.781,34.446,37.509,7.006
4090.722,40.266,41.207,6.581
4091.664,48.390,45.171,6.720
4092.607,49.829,45.234,6.979
4093.549,39.024,42.018,7.158
4094.492,33.915,38.608,7.181
4095.435,34.917,36.493,6.486
4096.378,39.885,33.879,5.389
4097.321,33.277,36.004,5.147
4098.265,33.885,37.190,5.569
4099.208,38.882,36.984,5.995
4100.152,37.532,36.501,6.273
4101.097,36.019,35.492,6.218
4102.041,35.200,33.694,5.982
4102.986,34.736,33.725,5.701
4103.931,36.359,35.586,5.454
4104.876,34.123,37.271,5.177
4105.821,34.353,36.651,5.187
4106.766,36.149,33.721,6.065
4107.712,34.131,31.987,6.673
4108.658,33.105,31.951,6.288
4109.604,31.179,31.857,5.368
4110.551,36.328,31.072,5.114
4111.497,35.468,30.744,5.887
4112.444,29.640,31.754,6.548
4113.391,29.292,32.252,6.279
4114.338,32.457,32.770,5.814
4115.286,33.347,30.691,6.409
4116.233,34.359,29.917,7.249
4117.181,31.711,30.794,6.513
4118.130,32.228,29.401,5.731
4119.078,32.836,26.113,5.807
4120.026,29.969,24.328,5.689
4120.975,28.387,22.671,5.451
4121.924,28.306,21.848,5.737
4122.873,33.696,23.782,6.408
4123.823,70.534,32.679,6.814
4124.772,140.842,52.407,6.813
4125.722,177.331,61.546,6.641
4126.672,127.479,50.866,6.583
4127.623,56.062,32.792,6.625
4128.573,32.975,21.561,6.632
4129.524,28.631,21.219,6.572
4130.475,30.348,23.724,6.283
4131.426,33.548,23.802,6.048
4132.378,33.047,23.975,6.062
4133.329,30.900,26.513,6.478
4134.281,32.761,28.327,7.057
4135.233,34.192,27.000,7.414
4136.185,30.843,29.828,7.243
4137.138,33.157,32.524,6.881
4138.091,34.632,32.977,7.006
4139.044,33.184,32.986,7.398
4139.997,33.677,33.790,7.256
4140.950,35.356,34.744,6.797
4141.904,37.977,34.665,6.444
4142.858,33.703,32.246,5.974
4143.812,33.195,33.591,5.433
4144.766,37.174,33.993,5.287
4145.720,35.808,32.454,5.610
4146.675,31.923,33.868,5.929
4147.630,32.973,37.344,6.053
4148.585,33.909,37.157,6.102
4149.540,34.658,36.439,5.693
4150.496,35.448,35.721,5.415
4151.452,31.498,35.588,5.414
4152.408,35.913,36.530,5.460
4153.364,34.723,35.627,5.941
4154.321,32.563,33.352,6.657
4155.277,31.233,33.780,7.204
4156.234,31.798,35.151,7.499
4157.191,34.350,35.340,7.632
4158.149,35.124,35.222,7.374
4159.106,36.446,36.697,6.576
4160.064,35.081,35.515,5.980
4161.022,35.348,36.329,6.329
4161.980,36.509,39.368,6.410
4162.939,34.713,40.828,6.636
4163.897,31.738,38.526,7.532
4164.856,32.816,37.504,8.377
4165.815,36.071,39.213,8.875
4166.775,34.838,34.702,8.940
4167.734,30.851,31.134,8.599
4168.694,31.459,33.327,8.148
4169.654,34.398,36.561,8.257
4170.614,31.799,36.216,8.241
4171.574,33.894,36.899,7.288
4172.535,34.475,38.004,7.293
4173.496,30.620,41.228,7.518
4174.457,31.514,41.933,6.736
4175.418,31.532,37.142,6.365
4176.380,29.143,39.952,6.537
4177.342,30.068,38.136,6.547
4178.304,32.029,38.305,6.481
4179.266,32.760,37.803,6.750
4180.228,35.081,36.356,7.024
4181.191,35.524,37.612,6.993
4182.154,31.898,38.284,6.755
4183.117,31.901,38.516,6.206
4184.080,31.700,38.043,6.187
4185.044,35.519,38.102,6.523
4186.007,33.407,38.134,6.281
4186.971,33.654,37.348,5.909
4187.936,30.635,38.412,5.843
4188.900,33.726,36.900,5.656
4189.865,37.300,38.201,5.734
4190.830,33.111,39.717,6.258
4191.795,33.295,39.083,6.577
4192.760,34.607,38.293,6.470
4193.725,32.845,39.235,6.602
4194.691,34.197,37.933,6.828
4195.657,33.401,37.526,6.227
4196.623,30.960,35.497,5.644
4197.590,32.532,33.026,5.587
4198.556,33.693,34.448,5.697
4199.523,33.989,36.341,5.578
4200.490,32.853,34.581,5.371
4201.458,31.095,34.093,5.240
4202.425,31.073,34.663,5.157
4203.393,32.406,35.637,5.267
4204.361,33.526,36.813,5.451
4205.329,32.357,35.613,5.551
4206.298,31.147,37.535,5.550
4207.266,34.759,38.214,5.796
4208.235,32.050,37.923,6.386
4209.204,30.836,37.961,6.843
4210.174,32.735,37.457,6.355
4211.143,33.488,34.937,5.522
4212.113,30.788,33.975,5.421
4213.083,30.970,37.144,5.843
4214.053,33.622,37.820,6.032
4215.023,31.456,36.889,6.181
4215.994,31.992,39.630,6.594
4216.965,33.992,38.664,5.869
4217.936,34.787,39.370,4.828
4218.907,33.295,39.260,5.178
4219.879,32.171,38.167,5.767
4220.851,34.624,37.094,5.991
4221.823,32.337,36.782,5.955
4222.795,33.702,37.572,5.664
4223.767,34.446,36.997,5.358
4224.740,29.323,36.111,5.383
4225.713,29.216,36.220,5.444
4226.686,34.282,36.228,5.190
4227.659,29.730,35.292,4.979
4228.633,31.825,37.079,5.291
4229.607,32.395,38.266,6.015
4230.581,33.627,36.580,6.092
4231.555,30.831,36.005,5.710
4232.530,31.947,37.735,5.638
4233.504,34.895,38.070,5.799
4234.479,34.129,35.392,5.929
4235.454,33.758,36.627,5.882
4236.430,33.125,38.282,5.828
4237.405,31.097,38.183,5.911
4238.381,31.890,36.783,5.796
