objid,ra,dec,u,g,r,i,z
1237646588246950539,80.72502431,1.147143825,19.27095,18.90778,18.97851,18.89499,18.82134
1237646588247147247,81.25147993,1.106477416,20.47281,19.97203,19.26418,18.87347,18.46611
1237646588247147385,81.24528147,1.081024198,20.85405,20.35801,20.26917,19.89285,19.98352
1237646588247213428,81.37219962,1.085919428,24.31174,21.39865,19.58843,18.92825,18.50653
1237646588247344072,81.60278452,1.199655766,19.69965,19.25389,18.13365,17.63088,17.29191
1237646588247409795,81.805621,1.209942756,20.81934,20.63591,20.25708,20.13875,19.74023
1237646588247474614,82.01332396,1.079601128,19.8073,19.57944,19.21992,19.19621,19.078
1237646588248458474,84.19259454,1.060022875,22.69849,21.34652,20.53185,20.24172,19.76238
1237646588249441819,86.48990402,1.069576412,23.53164,21.70409,20.0752,19.76033,19.19681
1237646588249899725,87.52380666,1.072918733,23.71449,21.66346,19.81084,18.75074,18.00117
1237646588251079959,90.14786784,1.194085438,25.26588,22.33308,20.32067,19.28711,18.64994
1237646645686501848,71.12040947,-1.170748628,20.35805,20.1726,20.01291,19.69667,19.66885
1237646645686567136,71.2421804,-1.152092595,20.03137,19.82112,19.65364,19.57644,19.47509
1237646645686632889,71.41574386,-1.150450412,20.34239,20.41758,20.43213,20.19558,19.91321
1237646645686763765,71.72521155,-1.152897294,20.61133,19.94021,19.88198,19.50794,19.57865
1237646645686894959,72.06600063,-1.187935384,20.01025,19.9165,19.64872,19.6376,19.55714
1237646645686960455,72.22797564,-1.234497449,20.43435,20.13019,19.90055,19.99538,19.76704
1237646645687025915,72.34687011,-1.181399651,20.22671,19.7384,19.44302,19.02091,18.86743
1237646645693514027,87.10657339,-1.213295594,23.80505,22.49426,20.60244,19.42937,18.69406
1237646646223307043,70.97323196,-0.648769045,20.0259,19.82893,19.55614,19.52701,19.56834
1237646646223372655,71.2079626,-0.756331803,20.42651,20.1674,19.9374,19.9989,19.91223
1237646646223372810,71.18318131,-0.809575349,20.80101,20.46953,20.40307,20.07188,20.08976
1237646646223438318,71.23652168,-0.812897639,20.35955,20.18254,20.09954,19.65375,19.35258
1237646646223700204,71.87978858,-0.760751042,20.55045,19.75904,19.5289,19.53993,19.27564
1237646646223766042,72.05257759,-0.750091559,20.53882,20.25359,20.26364,20.46947,20.49535
1237646646223962364,72.43406438,-0.756418159,19.61378,19.55345,19.31752,19.24318,19.33051
1237646646224289986,73.18643621,-0.806194876,20.50163,19.56789,19.29563,19.12883,18.95306
1237646646224290029,73.22260564,-0.725170703,19.80457,19.81147,19.51548,19.45056,19.48757
1237646646759981418,70.5862607,-0.267178627,20.45905,19.90169,19.67874,19.68843,19.53104
1237646646760374563,71.39530357,-0.322665897,20.37317,20.19895,19.97485,19.96881,20.14973
1237646646760440357,71.65859465,-0.281837805,20.78189,20.43594,20.29313,20.34275,20.22275
1237646646760571233,71.94550991,-0.279140249,19.88745,19.82624,19.87702,19.68243,19.35859
1237646646760637331,72.06406389,-0.362149195,24.18229,20.34846,19.96385,19.85185,19.80919
1237646646760767879,72.35438194,-0.337492062,19.9267,19.889,20.09292,20.17632,20.51026
1237646646760833395,72.5135887,-0.397556177,20.30137,19.95124,19.7737,19.46212,19.43086
1237646646760898938,72.68695375,-0.31213315,20.25022,19.533,19.40539,19.34294,19.03741
1237646646761160926,73.18555458,-0.252237835,20.46106,19.79364,19.66733,19.60311,19.46501
