Wavelength,Flux,BestFit,SkyFlux
4272.676,14.678,15.716,6.481
4273.660,16.357,15.756,5.877
4274.644,16.606,15.879,5.690
4275.629,15.245,15.995,5.861
4276.613,16.178,15.977,6.027
4277.598,15.329,15.823,6.366
4278.583,14.517,15.667,6.478
4279.569,17.168,15.746,6.314
4280.554,17.499,15.923,6.120
4281.540,16.342,16.229,6.066
4282.526,17.966,16.611,6.574
4283.512,15.098,16.655,6.780
4284.499,15.974,16.790,6.639
4285.485,14.533,16.722,6.695
4286.472,13.349,16.355,6.828
4287.459,16.367,15.990,6.426
4288.447,16.545,15.896,5.616
4289.434,15.966,15.890,5.116
4290.422,14.357,16.048,5.472
4291.410,17.206,16.360,6.282
4292.398,16.191,16.749,6.144
4293.387,18.333,17.063,6.352
4294.375,14.400,17.268,7.213
4295.364,17.079,17.488,7.555
4296.353,19.782,17.254,7.224
4297.343,17.676,17.382,6.698
4298.332,18.052,17.518,6.167
4299.322,19.745,17.506,5.620
4300.312,18.229,17.575,5.409
4301.303,17.999,17.712,5.504
4302.293,17.778,17.747,5.268
4303.284,19.043,17.664,4.760
4304.275,18.306,17.744,4.771
4305.266,20.609,17.657,5.177
4306.258,17.537,17.207,5.549
4307.249,15.714,17.209,5.893
4308.241,16.827,17.266,6.162
4309.233,18.575,17.289,6.185
4310.226,16.299,17.379,6.179
4311.218,17.329,17.421,6.007
4312.211,20.062,17.244,5.919
4313.204,16.414,16.926,6.615
4314.197,19.525,16.389,7.859
4315.191,18.469,15.899,8.581
4316.184,16.913,15.583,8.336
4317.178,14.679,15.447,8.376
4318.173,18.931,15.451,7.873
4319.167,16.268,15.639,7.568
4320.162,16.814,16.351,7.743
4321.157,17.894,17.108,8.093
4322.152,15.599,17.480,8.049
4323.147,15.931,17.761,6.968
4324.143,18.984,18.067,5.595
4325.138,18.956,17.607,5.574
4326.134,17.579,17.350,6.234
4327.131,17.193,17.174,6.197
4328.127,17.868,16.677,6.102
4329.124,16.062,15.887,6.353
4330.121,17.748,15.271,6.577
4331.118,15.557,15.280,6.701
4332.115,15.067,15.609,6.792
4333.113,17.333,16.011,7.035
4334.111,17.924,16.484,6.845
4335.109,14.428,17.038,6.717
4336.107,14.885,17.490,7.008
4337.106,17.989,17.505,6.993
4338.104,17.774,17.274,6.416
4339.103,18.522,16.994,6.340
4340.103,15.215,16.757,6.653
4341.102,17.120,16.444,5.852
4342.102,16.283,16.074,5.161
4343.102,14.645,16.044,5.931
4344.102,16.166,16.135,6.792
4345.102,17.536,16.081,7.139
4346.103,12.651,16.191,7.498
4347.104,13.218,16.238,7.964
4348.105,15.758,15.920,8.217
4349.106,15.793,15.729,8.216
4350.108,15.267,15.411,7.938
4351.109,15.998,15.306,7.044
4352.111,19.044,15.609,6.016
4353.114,17.093,16.055,6.814
4354.116,15.652,16.251,7.505
4355.119,16.245,16.262,7.004
4356.122,16.515,16.538,7.587
4357.125,16.696,16.528,14.396
4358.128,15.397,16.348,32.267
4359.132,19.206,16.230,44.149
4360.136,19.625,16.221,37.883
4361.140,16.512,16.194,22.640
4362.144,13.626,15.935,12.900
4363.149,14.767,15.727,10.167
4364.153,18.493,15.508,8.718
4365.158,15.338,15.492,8.001
4366.164,13.443,15.886,8.242
4367.169,17.408,16.313,8.117
4368.175,17.730,16.772,6.822
4369.181,17.087,17.147,7.186
4370.187,15.712,17.333,7.212
4371.193,17.996,17.380,6.759
4372.200,16.326,17.364,6.704
4373.207,15.207,17.330,7.012
4374.214,17.632,17.809,7.644
4375.221,17.923,18.085,8.287
4376.229,17.677,18.149,8.144
4377.236,18.334,18.260,7.626
4378.244,16.037,18.346,7.953
4379.253,18.271,17.971,8.150
4380.261,18.049,17.719,7.516
4381.270,14.909,17.474,7.043
4382.279,18.714,17.030,6.260
4383.288,17.186,16.636,5.745
4384.297,16.768,16.360,6.056
4385.307,15.779,15.542,6.231
4386.317,15.389,14.940,6.288
4387.327,16.815,14.594,6.673
4388.337,15.311,14.351,6.860
4389.348,14.645,14.102,6.390
4390.359,16.052,13.893,5.861
4391.370,14.113,13.916,6.276
4392.381,13.987,14.110,6.730
4393.392,13.317,14.525,6.385
4394.404,15.232,14.901,6.273
4395.416,16.982,15.243,6.912
4396.428,14.454,15.720,6.876
4397.441,16.664,16.154,6.486
4398.453,15.895,16.112,6.444
4399.466,15.870,16.126,6.818
4400.479,16.387,16.360,7.250
4401.493,15.967,16.615,7.395
4402.506,14.979,16.730,7.384
4403.520,18.606,16.907,7.565
4404.534,20.991,17.243,7.750
4405.549,15.880,17.392,7.793
4406.563,19.573,17.536,7.388
4407.578,18.103,17.484,7.548
4408.593,14.860,17.068,8.858
4409.608,16.885,16.922,8.566
4410.624,18.309,16.970,7.644
4411.639,16.512,16.953,8.108
4412.655,16.613,17.096,8.527
4413.671,18.018,17.262,8.429
4414.688,16.768,17.231,8.291
4415.704,16.048,17.331,8.250
4416.721,17.089,17.311,8.098
4417.738,17.620,17.289,8.048
4418.756,17.560,17.049,8.232
4419.773,16.835,16.728,8.543
4420.791,15.925,16.561,8.767
4421.809,17.793,16.278,8.583
4422.827,16.110,16.040,8.221
4423.846,16.358,16.119,8.163
4424.865,15.597,16.295,7.685
4425.884,18.460,16.518,7.846
4426.903,16.884,16.875,8.406
4427.922,18.149,17.239,8.027
4428.942,17.213,17.671,6.958
4429.962,17.428,17.692,6.412
4430.982,19.039,17.740,6.469
4432.003,18.307,17.718,7.090
4433.023,16.959,17.184,7.831
4434.044,16.040,16.475,7.537
4435.065,19.812,16.100,6.251
4436.086,14.248,15.986,6.138
4437.108,16.882,16.098,6.708
4438.130,17.195,16.390,7.259
4439.152,18.343,16.753,8.209
4440.174,16.239,16.996,8.198
4441.197,15.900,16.804,7.324
4442.219,15.349,16.466,6.476
4443.242,14.879,16.361,6.307
4444.266,16.725,16.419,6.315
4445.289,17.322,16.399,6.530
4446.313,15.690,16.368,7.309
4447.337,15.061,16.144,7.760
4448.361,15.410,16.353,7.176
4449.385,16.432,16.526,6.858
4450.410,14.175,16.617,7.183
4451.435,15.768,16.955,7.073
4452.460,15.396,17.300,7.564
4453.485,15.515,17.657,6.898
4454.511,18.056,17.797,6.001
4455.536,17.325,17.910,6.089
4456.562,16.100,18.026,6.369
4457.589,18.347,17.991,6.912
4458.615,14.900,17.795,7.182
4459.642,12.643,17.418,6.605
4460.669,15.849,17.154,6.046
4461.696,17.652,17.030,6.509
4462.724,18.311,16.988,6.641
4463.751,16.454,16.925,6.216
4464.779,17.315,16.652,6.722
4465.808,15.007,16.194,6.835
4466.836,15.119,15.876,6.392
4467.865,16.126,15.809,6.356
4468.893,15.890,15.907,6.564
4469.923,16.458,16.004,6.338
4470.952,15.770,16.054,5.624
4471.982,15.068,16.346,5.911
4473.011,15.679,16.505,6.535
4474.041,16.256,16.551,6.495
4475.072,17.644,16.603,6.371
4476.102,18.242,16.663,6.681
4477.133,17.019,16.687,6.782
4478.164,18.162,16.884,6.359
4479.195,17.118,17.046,6.141
4480.227,15.371,17.125,6.689
4481.259,16.660,17.089,6.372
4482.290,17.824,17.034,5.715
4483.323,17.419,17.198,6.499
4484.355,18.127,16.962,7.302
4485.388,17.573,17.256,7.634
4486.421,17.751,17.475,7.666
4487.454,17.658,17.503,7.156
4488.487,15.896,17.702,6.513
4489.521,16.102,17.648,6.242
4490.555,17.554,17.386,6.162
4491.589,17.614,17.036,6.173
4492.623,17.145,16.606,6.977
4493.658,14.194,16.220,8.383
4494.693,13.739,16.031,8.404
4495.728,17.970,15.981,7.676
4496.763,16.099,16.096,7.383
4497.799,16.636,16.331,7.704
4498.834,17.361,16.563,7.601
4499.870,17.674,16.863,7.263
4500.907,18.747,17.317,7.449
4501.943,17.240,17.697,7.441
4502.980,17.674,17.982,7.311
4504.017,17.217,18.263,7.329
4505.054,18.498,18.412,7.597
4506.091,18.005,18.367,7.929
4507.129,15.828,18.291,7.905
4508.167,18.088,18.391,7.286
4509.205,16.501,18.229,6.728
4510.244,18.090,17.905,6.641
4511.282,18.466,17.662,6.796
4512.321,18.351,17.690,6.908
4513.360,18.125,17.914,7.007
4514.400,17.606,17.994,6.968
4515.439,17.923,18.323,7.096
4516.479,19.361,18.672,7.054
4517.519,18.465,18.944,6.636
4518.559,16.767,18.808,6.403
4519.600,17.432,18.179,6.626
4520.641,16.370,17.743,7.156
4521.682,14.644,16.789,7.614
4522.723,16.239,15.699,7.435
4523.765,17.850,14.981,6.790
4524.806,16.845,14.801,6.442
4525.848,16.022,15.096,6.761
4526.891,15.334,15.822,7.063
4527.933,14.829,16.752,7.483
4528.976,15.847,17.624,7.722
4530.019,16.721,17.964,7.521
4531.062,17.101,17.954,7.472
4532.105,14.311,18.052,8.044
4533.149,18.664,18.020,8.120
4534.193,19.570,17.745,7.822
4535.237,16.673,17.709,7.729
4536.282,18.016,17.672,7.459
4537.326,18.078,17.759,7.169
4538.371,17.244,18.240,7.350
4539.416,16.694,18.585,7.740
4540.462,14.806,18.650,7.622
4541.507,18.561,18.943,7.028
4542.553,19.920,19.254,6.884
4543.599,19.568,19.454,7.532
4544.645,18.835,19.561,8.367
4545.692,18.415,19.314,8.363
4546.739,18.150,18.723,7.636
4547.786,17.368,18.268,7.747
4548.833,19.555,17.898,7.802
4549.881,17.232,17.631,7.334
4550.928,15.594,17.551,6.719
4551.976,17.247,17.502,7.097
4553.025,18.232,17.754,7.477
4554.073,18.639,17.965,7.382
4555.122,17.962,18.043,7.291
4556.171,16.812,18.115,7.032
4557.220,17.514,18.200,6.528
4558.270,17.907,17.999,6.581
4559.319,19.276,17.733,6.679
4560.369,18.979,17.797,6.698
4561.419,19.227,17.925,7.123
4562.470,16.827,18.242,7.222
4563.520,18.114,18.927,7.285
4564.571,18.266,19.308,7.527
4565.623,20.388,19.572,6.786
4566.674,19.817,19.763,6.711
4567.726,18.320,19.546,6.866
4568.777,18.092,18.882,6.781
4569.830,16.986,18.037,6.906
4570.882,16.852,17.223,6.913
4571.935,17.236,16.718,6.896
4572.987,16.401,16.166,6.848
4574.040,16.477,16.084,6.847
4575.094,17.718,16.328,6.990
4576.147,17.686,16.452,7.396
4577.201,16.079,17.052,7.035
4578.255,16.216,17.952,6.787
4579.310,16.721,18.384,7.567
4580.364,16.767,18.500,7.816
4581.419,17.194,18.522,7.777
