Wavelength,Flux,BestFit,SkyFlux
3877.930,2.611,2.970,2.456
3878.823,1.746,2.991,2.069
3879.717,2.723,2.996,2.162
3880.610,3.576,3.006,2.242
3881.504,1.370,3.031,2.080
3882.398,2.871,3.043,1.902
3883.292,1.644,3.059,1.850
3884.186,2.112,3.069,1.979
3885.080,2.735,3.069,2.005
3885.975,2.462,3.053,1.919
3886.870,2.476,3.036,1.876
3887.765,2.149,3.065,1.814
3888.660,2.165,3.086,1.967
3889.556,2.119,3.099,2.049
3890.451,3.904,3.097,2.010
3891.347,5.011,3.072,2.057
3892.243,2.693,3.053,2.362
3893.140,3.017,3.086,2.551
3894.036,3.274,3.051,2.304
3894.933,3.135,3.025,2.318
3895.830,3.756,3.061,2.411
3896.727,3.987,3.117,2.536
3897.625,2.817,3.141,2.625
3898.522,3.859,3.145,2.563
3899.420,4.428,3.130,2.507
3900.318,2.883,3.144,2.419
3901.216,1.912,3.127,2.644
3902.114,3.028,3.103,2.688
3903.013,4.019,3.120,2.768
3903.912,1.934,3.127,2.965
3904.811,3.504,3.118,3.229
3905.710,3.090,3.136,3.468
3906.609,2.653,3.132,3.683
3907.509,3.009,3.111,4.348
3908.409,2.440,3.094,4.530
3909.309,2.826,3.057,4.417
3910.209,2.666,3.111,4.395
3911.110,2.050,3.109,4.433
3912.010,2.679,3.078,4.502
3912.911,3.437,3.071,4.588
3913.812,2.461,3.096,4.635
3914.714,2.482,3.128,4.527
3915.615,2.912,3.148,4.259
3916.517,3.983,3.132,3.694
3917.419,3.384,3.101,3.439
3918.321,2.543,3.055,3.379
3919.223,3.802,3.024,3.328
3920.126,3.006,3.083,3.103
3921.029,3.049,3.101,2.841
3921.931,2.548,3.096,2.443
3922.835,2.711,3.144,2.460
3923.738,3.032,3.164,2.445
3924.642,2.146,3.107,2.550
3925.545,2.321,3.123,2.664
3926.449,2.408,3.110,2.502
3927.354,3.783,3.082,2.102
3928.258,3.004,3.102,2.209
3929.163,2.188,3.094,2.003
3930.067,4.907,3.026,1.647
3930.972,4.141,3.057,1.604
3931.878,3.213,3.048,1.660
3932.783,3.557,3.082,1.642
3933.689,3.434,3.113,1.629
3934.595,2.769,3.092,1.673
3935.501,2.756,3.064,1.655
3936.407,2.301,3.117,1.633
3937.314,2.488,3.067,1.678
3938.220,2.357,3.036,1.909
3939.127,1.849,3.039,2.174
3940.034,2.970,3.054,2.380
3940.942,5.248,3.058,2.672
3941.849,2.083,3.029,3.150
3942.757,0.948,3.014,3.056
3943.665,2.455,3.062,2.991
3944.573,2.701,3.050,3.284
3945.481,2.025,3.009,3.121
3946.390,3.016,3.035,2.988
3947.299,2.919,3.068,2.998
3948.208,3.810,3.019,2.938
3949.117,2.389,3.058,2.868
3950.026,1.523,3.013,2.866
3950.936,2.042,2.953,2.757
3951.846,2.422,3.016,2.779
3952.756,4.209,3.049,2.836
3953.666,1.733,3.058,2.894
3954.577,2.112,3.055,2.835
3955.487,3.688,3.023,2.785
3956.398,3.380,2.988,2.794
3957.309,2.137,2.977,2.494
3958.221,3.124,2.976,2.470
3959.132,3.771,3.057,2.473
3960.044,3.614,3.039,2.526
3960.956,3.489,3.007,2.651
3961.868,3.208,2.987,2.694
3962.780,2.423,2.959,2.533
3963.693,2.733,2.975,2.282
3964.606,2.985,2.996,2.040
3965.519,4.211,2.964,1.766
3966.432,3.722,2.954,1.677
3967.345,2.660,2.985,1.544
3968.259,3.749,3.017,1.392
3969.173,3.008,3.020,1.321
3970.087,2.857,2.968,1.289
3971.001,2.139,2.935,1.269
3971.915,2.681,2.962,1.406
3972.830,3.089,2.988,1.531
3973.745,1.696,2.958,1.815
3974.660,3.727,2.930,2.107
3975.575,2.606,2.933,2.532
3976.491,2.151,2.945,2.900
3977.407,2.592,2.941,3.061
3978.323,2.657,2.938,3.037
3979.239,2.371,2.951,2.785
3980.155,2.732,2.947,3.034
3981.072,1.720,2.952,2.933
3981.988,2.464,2.936,2.953
3982.905,4.083,2.919,2.967
3983.823,3.598,2.920,2.927
3984.740,1.132,2.923,2.982
3985.658,2.526,2.895,3.272
3986.576,3.656,2.878,3.082
3987.494,2.749,2.951,2.986
3988.412,2.948,2.962,2.722
3989.330,3.996,2.909,2.977
3990.249,3.291,2.880,3.074
3991.168,3.395,2.867,3.035
3992.087,4.244,2.905,2.950
3993.006,2.883,2.898,2.865
3993.926,1.380,2.899,2.994
3994.846,1.797,2.901,3.173
3995.766,3.362,2.874,2.833
3996.686,3.812,2.867,2.932
3997.606,3.796,2.847,2.976
3998.527,3.069,2.824,2.891
3999.447,1.680,2.834,3.009
4000.369,1.039,2.868,3.232
4001.290,2.399,2.869,3.304
